baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000056413.16	412.378404889873	5.9650332188058	0.253121532567572	23.5658861508095	8.62864305392505e-123	3.50754340142053e-120
ENSMUSG00000026479.13	550.394226726456	3.25332542933858	0.138767262848679	23.4444735923502	1.50514302855127e-121	5.99843765790286e-119
ENSMUSG00000115388.2	487.172566491156	6.44749077519707	0.275480492550326	23.4045275420699	3.84319233289034e-121	1.50217084934608e-118
ENSMUSG00000038807.19	927.659310946644	2.96019841008872	0.126608947422801	23.380641497661	6.72664877918945e-121	2.57960634786841e-118
ENSMUSG00000041607.17	369.150035267237	5.04056720233008	0.215747700083587	23.3632488336015	1.01079164744276e-120	3.8045074507915e-118
ENSMUSG00000026639.18	354.930346020782	4.29458246941351	0.184847096184269	23.2331616674809	2.10540834276739e-119	7.78044083031766e-117
ENSMUSG00000029019.8	341.509060610672	5.42684698193562	0.237290956810912	22.8700117984692	9.24081628336692e-116	3.35392126713272e-113
ENSMUSG00000024479.3	623.030397186153	7.48687925846064	0.330223060161555	22.6721878683997	8.42988274395005e-114	3.00591871527693e-111
ENSMUSG00000005968.14	746.891316546412	2.82274578855663	0.124565507879118	22.6607335900394	1.09344046179485e-113	3.83175472172075e-111
ENSMUSG00000021118.7	334.088061022056	5.30042846589135	0.234860507733699	22.5684109986739	8.85720862592786e-113	3.0512333105421e-110
ENSMUSG00000046410.10	363.813200935362	4.26012346714939	0.189725229030112	22.4541748555393	1.16499820825271e-111	3.94643143045605e-109
ENSMUSG00000026380.10	296.13355366377	4.91130822529834	0.219683895944667	22.356250576216	1.04969760935242e-110	3.4975580180472e-108
ENSMUSG00000015468.14	371.725798825926	5.94642685111199	0.266467244719439	22.3157891596504	2.59621193209107e-110	8.51096895479853e-108
ENSMUSG00000019866.15	1339.77081977195	2.92063362051326	0.131501248003824	22.2099308169937	2.75361265962217e-109	8.88367893759057e-107
ENSMUSG00000020435.17	311.352563581967	4.62664654087691	0.209405194147554	22.0942300868469	3.59140140588113e-108	1.14055052460209e-105
ENSMUSG00000018920.11	304.115177518367	3.70432142009725	0.168062530811105	22.0413283211875	1.15692934252028e-107	3.61762905949609e-105
ENSMUSG00000022665.15	13205.6433076974	-1.67501001715653	0.0762113793566601	-21.9784765909784	4.62730105058416e-107	1.42499839171398e-104
ENSMUSG00000042377.8	291.296260386367	4.3412102534014	0.197568855084444	21.9731508366837	5.20309119075184e-107	1.57840042465718e-104
ENSMUSG00000002799.6	378.7791634051	4.60325427251059	0.209595106387277	21.9626037642548	6.56286893956626e-107	1.96162222348065e-104
ENSMUSG00000025813.14	417.911324811609	3.10996640205822	0.142234216058015	21.865107343719	5.58338918940647e-106	1.64467225035778e-103
ENSMUSG00000037411.10	6094.88601370252	-2.12253327545507	0.0972367919578981	-21.8284996112797	1.24438511501882e-105	3.6131610661082e-103
ENSMUSG00000044017.16	365.77044008406	6.26669960690362	0.287610618151016	21.788832579238	2.96103206448612e-105	8.47647559305358e-103
ENSMUSG00000057963.9	586.017586330516	3.21330601245309	0.147496941966971	21.7855771760519	3.1791466422121e-105	8.9744660420779e-103
ENSMUSG00000030513.14	1014.19492136065	2.4587344299379	0.112941470427562	21.769987770036	4.46749726104301e-105	1.24386139494108e-102
ENSMUSG00000024812.11	1552.14397575508	2.06363389559935	0.0948005741816112	21.7681581932828	4.64940957578975e-105	1.26852097580306e-102
ENSMUSG00000068876.16	527.056563064101	7.56789600328857	0.347663935657268	21.7678488537537	4.68088920960538e-105	1.26852097580306e-102
